description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Utah,2957.0,3354.0,3373.0,3238.0,3384.0,3513.0,4587.0,4063.0,4042.0,3847.0,3579.0,3056.0,3566.0,3887.0,3797.0,3509.0,3709.0,3135.0,3732.0,3180.0,3168.0,3311.0
Nevada,2966.0,2760.0,2791.0,2574.0,3367.0,2319.0,2861.0,2563.0,3141.0,3061.0,2369.0,2506.0,3093.0,2725.0,2686.0,3261.0,3046.0,2805.0,3092.0,3086.0,3038.0,3119.0
Montana,2301.0,1857.0,2012.0,2294.0,2255.0,2246.0,2552.0,2322.0,2547.0,2463.0,2406.0,2514.0,2817.0,2324.0,2795.0,2374.0,2562.0,2604.0,2571.0,2162.0,2563.0,2789.0
Massachusetts,3802.0,3401.0,3967.0,4564.0,4073.0,3544.0,3470.0,3209.0,3733.0,3435.0,3489.0,2874.0,2696.0,2952.0,2272.0,2425.0,2582.0,2629.0,2292.0,1756.0,2030.0,2251.0
New Hampshire,652.0,1411.0,1886.0,2080.0,2214.0,2344.0,2084.0,1813.0,2287.0,1922.0,1981.0,1940.0,1910.0,1823.0,2064.0,1585.0,1422.0,1748.0,1579.0,1530.0,1504.0,1812.0
South Dakota,628.0,559.0,598.0,628.0,609.0,528.0,580.0,629.0,639.0,738.0,886.0,944.0,873.0,816.0,948.0,1098.0,909.0,1018.0,1404.0,1377.0,1501.0,1800.0
Idaho,605.0,629.0,567.0,850.0,787.0,925.0,1002.0,834.0,1031.0,820.0,1294.0,1086.0,1185.0,1091.0,1202.0,1281.0,1584.0,1422.0,1546.0,1511.0,1597.0,1799.0
Maine,1648.0,1892.0,2066.0,1874.0,1753.0,1281.0,1518.0,1514.0,1585.0,1469.0,1445.0,1497.0,1388.0,1447.0,1289.0,1208.0,1023.0,1129.0,1115.0,922.0,954.0,1227.0
Hawaii,925.0,940.0,853.0,909.0,959.0,936.0,954.0,925.0,886.0,900.0,873.0,849.0,831.0,822.0,731.0,811.0,800.0,791.0,771.0,793.0,757.0,745.0
Rhode Island,424.0,745.0,514.0,428.0,389.0,465.0,514.0,671.0,631.0,637.0,726.0,648.0,368.0,406.0,332.0,345.0,408.0,476.0,430.0,514.0,579.0,634.0
Alaska,590.0,647.0,609.0,630.0,627.0,630.0,618.0,672.0,657.0,677.0,679.0,725.0,640.0,574.0,606.0,597.0,604.0,599.0,585.0,616.0,517.0,584.0
Delaware,626.0,275.0,769.0,1030.0,882.0,536.0,541.0,783.0,719.0,588.0,328.0,580.0,492.0,611.0,657.0,540.0,402.0,580.0,292.0,338.0,113.0,300.0
Vermont,548.0,489.0,533.0,537.0,527.0,579.0,577.0,650.0,616.0,616.0,629.0,596.0,637.0,673.0,169.0,224.0,172.0,209.0,240.0,202.0,171.0,195.0
